epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,2119.8,1.09895,1.1516,1.31083,0.82358,0.6802,0.76249,0.39111,1.80938,1.50809,1.83166,0.00154047,0.00154047,0.00154047
162,2132.85,1.12786,1.18137,1.32476,0.83439,0.67005,0.7644,0.38135,1.80144,1.49667,1.85138,0.00153521,0.00153521,0.00153521
163,2145.7,1.12168,1.18042,1.31492,0.81843,0.71574,0.79639,0.42348,1.75734,1.4269,1.76126,0.00152992,0.00152992,0.00152992
164,2159,1.1119,1.15532,1.31946,0.84008,0.65332,0.77134,0.39712,1.81369,1.47265,1.83557,0.00152462,0.00152462,0.00152462
165,2171.97,1.10626,1.15923,1.32279,0.81388,0.677,0.77405,0.40386,1.76853,1.50302,1.82357,0.0015193,0.0015193,0.0015193
166,2185.03,1.0974,1.16304,1.3149,0.78438,0.68528,0.76819,0.39696,1.74617,1.50305,1.7657,0.00151395,0.00151395,0.00151395
167,2197.91,1.084,1.16451,1.30334,0.77765,0.71012,0.79036,0.40299,1.7096,1.47009,1.74574,0.00150859,0.00150859,0.00150859
168,2210.67,1.0708,1.11795,1.29859,0.83336,0.67005,0.77678,0.38787,1.77931,1.49138,1.78544,0.0015032,0.0015032,0.0015032
169,2223.62,1.09192,1.16538,1.30062,0.81223,0.66497,0.77079,0.4021,1.79402,1.48193,1.77287,0.0014978,0.0014978,0.0014978
170,2236.68,1.10834,1.16318,1.32023,0.76879,0.66672,0.74846,0.37737,1.78148,1.52407,1.80594,0.00149238,0.00149238,0.00149238
171,2249.91,1.04331,1.10492,1.27656,0.73708,0.70305,0.7587,0.38962,1.77785,1.53077,1.80298,0.00148694,0.00148694,0.00148694
172,2263,1.07476,1.1376,1.29028,0.84107,0.64721,0.77492,0.40794,1.74516,1.4641,1.81769,0.00148148,0.00148148,0.00148148
173,2275.81,1.08369,1.12253,1.29181,0.716,0.76142,0.78842,0.41415,1.73278,1.45519,1.77572,0.001476,0.001476,0.001476
174,2288.88,1.06203,1.1234,1.27219,0.81423,0.67259,0.76483,0.40547,1.76907,1.44311,1.80194,0.0014705,0.0014705,0.0014705
175,2301.83,1.05685,1.08965,1.27129,0.82854,0.67456,0.76715,0.39974,1.8132,1.48852,1.83293,0.00146498,0.00146498,0.00146498
176,2314.77,1.06227,1.09027,1.27501,0.77746,0.72589,0.78593,0.40184,1.79896,1.44641,1.81149,0.00145945,0.00145945,0.00145945
177,2328.03,1.08985,1.09986,1.29242,0.80485,0.67766,0.77151,0.40098,1.75717,1.4875,1.76224,0.0014539,0.0014539,0.0014539
178,2340.83,1.04331,1.06221,1.26948,0.75743,0.72589,0.79479,0.39716,1.76301,1.44075,1.79796,0.00144833,0.00144833,0.00144833
179,2354.01,1.04667,1.10253,1.27475,0.83184,0.67795,0.80453,0.41112,1.80003,1.47454,1.8381,0.00144274,0.00144274,0.00144274
180,2367.12,1.04114,1.07211,1.26503,0.76441,0.74619,0.80114,0.41097,1.78539,1.40984,1.81836,0.00143714,0.00143714,0.00143714
